Accession,PMID,Gene,Subtype,NumAAChanges,NumStopCodons
AB213684,16386117,Gag,07_BC,68,0
AB213685,16386117,Gag,08_BC,78,0
AB213686,16386117,Gag,07_BC,79,0
AB213687,16386117,Gag,08_BC,77,0
AB213688,16386117,Gag,08_BC,77,0
AB213689,16386117,Gag,07_BC,67,0
AB213690,16386117,Gag,0108,77,0
AB213691,16386117,Gag,0107,68,0
AB213692,16386117,Gag,B,23,0
AB428551,18620491,Gag,B,28,0
AB428552,18620491,Gag,B,21,0
AB428553,18620491,Gag,B,29,0
AB428554,18620491,Gag,B,26,0
AB428555,18620491,Gag,B,29,0
AB428556,18620491,Gag,B,37,0
AB428557,18620491,Gag,B,35,0
AB428558,18620491,Gag,B,34,1
AB428559,18620491,Gag,B,36,1
AB428560,18620491,Gag,B,42,1
AB428561,18620491,Gag,B,27,1
AB428562,18620491,Gag,B,41,1
AB703607,22916738,Gag,35_AD,72,0
AB703608,22916738,Gag,35_AD,69,0
AB703609,22916738,Gag,35_AD,76,0
AB703610,22916738,Gag,35_AD,74,0
AB703611,22916738,Gag,35_AD,75,0
AB703612,22916738,Gag,35_AD,73,0
AB703613,22916738,Gag,35_AD,71,0
AB703614,22916738,Gag,35_AD,78,0
AB703615,22916738,Gag,35_AD,78,0
AB703616,22916738,Gag,01_AE,89,0
AB845344,26571151,Gag,69_01B,43,0
AB845345,26571151,Gag,69_01B,41,0
AB845346,26571151,Gag,69_01B,43,0
AB845347,26571151,Gag,69_01B,43,0
AB845348,26571151,Gag,69_01B,38,0
AB845349,26571151,Gag,69_01B,50,0
AB859012,26571151,Gag,01B,47,0
AB873205,24522911,Gag,B,42,0
AB873206,24522911,Gag,B,27,0
AB873207,24522911,Gag,B,35,1
AB873208,24522911,Gag,B,42,0
AB873209,24522911,Gag,B,44,0
AB873210,24522911,Gag,B,42,0
AB873211,24522911,Gag,B,31,0
AB873212,24522911,Gag,B,44,0
AB873213,24522911,Gag,B,32,1
AB873214,24522911,Gag,B,24,0
AB873215,24522911,Gag,B,38,0
AB873216,24522911,Gag,B,33,0
AB873217,24522911,Gag,B,45,0
AB873218,24522911,Gag,B,35,1
AB873219,24522911,Gag,B,23,0
AB873220,24522911,Gag,B,24,0
AB873221,24522911,Gag,B,35,0
AB873222,24522911,Gag,B,45,1
AB873223,24522911,Gag,B,42,0
AB873224,24522911,Gag,B,44,0
AB873225,24522911,Gag,B,22,0
AB873226,24522911,Gag,B,32,0
AB873227,24522911,Gag,B,42,0
AB873228,24522911,Gag,B,43,0
AB873229,24522911,Gag,B,34,1
AB873230,24522911,Gag,B,34,1
AB873231,24522911,Gag,B,36,2
AB873232,24522911,Gag,B,43,1
AB873233,24522911,Gag,B,29,0
AB873234,24522911,Gag,B,35,1
AB873235,24522911,Gag,B,40,0
AB873236,24522911,Gag,B,32,0
AB873237,24522911,Gag,B,27,0
AB873238,24522911,Gag,B,34,0
AB873239,24522911,Gag,B,28,0
AB873240,24522911,Gag,B,42,0
AB873241,24522911,Gag,B,29,0
AB873242,24522911,Gag,B,34,0
AB873243,24522911,Gag,B,38,0
AB873244,24522911,Gag,B,41,0
AB873245,24522911,Gag,B,47,1
AB873246,24522911,Gag,B,26,0
AB873247,24522911,Gag,B,41,0
AB873248,24522911,Gag,B,30,1
AB873249,24522911,Gag,B,31,0
AB873250,24522911,Gag,B,44,1
AB873251,24522911,Gag,B,33,1
AB873252,24522911,Gag,B,26,0
AB873253,24522911,Gag,B,35,0
AB873254,24522911,Gag,B,33,0
AB873255,24522911,Gag,B,42,1
AB873256,24522911,Gag,B,39,0
AB873257,24522911,Gag,B,36,0
AB873258,24522911,Gag,B,39,1
AB873259,24522911,Gag,B,29,0
AB873260,24522911,Gag,B,35,0
AB873261,24522911,Gag,B,37,1
AB873262,24522911,Gag,B,37,1
AB873263,24522911,Gag,B,22,1
AB873264,24522911,Gag,B,41,2
AB873265,24522911,Gag,B,31,1
AB873266,24522911,Gag,B,36,1
AB873267,24522911,Gag,B,27,0
AB873268,24522911,Gag,B,27,0
AB873269,24522911,Gag,B,39,0
AB873270,24522911,Gag,B,53,0
AB873271,24522911,Gag,B,31,0
AB873272,24522911,Gag,B,30,0
AB873273,24522911,Gag,B,31,1
AB873274,24522911,Gag,B,29,2
AB873275,24522911,Gag,B,34,0
AB873276,24522911,Gag,B,44,0
AB873277,24522911,Gag,B,46,1
AB873279,24522911,Gag,B,39,0
AB873280,24522911,Gag,B,34,1
AB873281,24522911,Gag,B,38,0
AB873282,24522911,Gag,B,23,1
AB873283,24522911,Gag,B,31,0
AB873284,24522911,Gag,B,45,2
AB873285,24522911,Gag,B,31,0
AB873286,24522911,Gag,B,45,0
AB873287,24522911,Gag,B,41,0
AB873288,24522911,Gag,B,34,0
AB873289,24522911,Gag,B,32,1
AB873290,24522911,Gag,B,29,0
AB873291,24522911,Gag,B,42,1
AB873292,24522911,Gag,B,27,1
AB873293,24522911,Gag,B,20,1
AB873294,24522911,Gag,B,37,0
AB873295,24522911,Gag,B,34,0
AB873296,24522911,Gag,B,27,0
AB873297,24522911,Gag,B,42,0
AB873298,24522911,Gag,B,40,0
AB873299,24522911,Gag,B,38,1
AB873300,24522911,Gag,B,33,0
AB873301,24522911,Gag,B,31,0
AB873302,24522911,Gag,B,32,1
AB873303,24522911,Gag,B,29,0
AB873304,24522911,Gag,B,40,2
AB873305,24522911,Gag,B,49,1
AB873306,24522911,Gag,B,24,0
AB873307,24522911,Gag,B,32,0
AB873308,24522911,Gag,B,28,1
AB873309,24522911,Gag,B,39,1
AB873310,24522911,Gag,B,33,0
AB873311,24522911,Gag,B,23,0
AB873312,24522911,Gag,B,27,0
AB873313,24522911,Gag,B,43,0
AB873314,24522911,Gag,B,35,1
AB873315,24522911,Gag,B,32,1
AB873316,24522911,Gag,B,41,0
AB873317,24522911,Gag,B,42,1
AB873318,24522911,Gag,B,28,0
AB873319,24522911,Gag,B,52,0
AB873320,24522911,Gag,B,33,0
AB873321,24522911,Gag,B,28,0
AB873322,24522911,Gag,B,29,1
AB873323,24522911,Gag,B,47,2
AB873324,24522911,Gag,B,42,0
AB873325,24522911,Gag,B,37,0
AB873326,24522911,Gag,B,36,0
AB873327,24522911,Gag,B,35,0
AB873328,24522911,Gag,B,34,1
AB873329,24522911,Gag,B,48,0
AB873330,24522911,Gag,B,38,0
AB873331,24522911,Gag,B,25,0
AB873332,24522911,Gag,B,33,1
AB873333,24522911,Gag,B,42,0
AB873334,24522911,Gag,B,39,1
AB873335,24522911,Gag,B,45,2
AB873336,24522911,Gag,B,28,0
AB873337,24522911,Gag,B,29,0
AB873338,24522911,Gag,B,34,1
AB873340,24522911,Gag,B,39,2
AB873341,24522911,Gag,B,37,0
AB873342,24522911,Gag,B,31,0
AB873343,24522911,Gag,B,36,1
AB873344,24522911,Gag,B,42,1
AB873345,24522911,Gag,B,31,0
AB873346,24522911,Gag,B,33,0
AB873347,24522911,Gag,B,39,0
AB873348,24522911,Gag,B,37,0
AB873349,24522911,Gag,B,45,0
AB873350,24522911,Gag,B,45,0
AB873351,24522911,Gag,B,35,1
AB873352,24522911,Gag,B,38,0
AB873353,24522911,Gag,B,42,0
AB873354,24522911,Gag,B,38,2
AB873355,24522911,Gag,B,34,1
AB873356,24522911,Gag,B,44,0
AB873357,24522911,Gag,B,29,1
AB873358,24522911,Gag,B,33,0
AB873359,24522911,Gag,B,37,1
AB873360,24522911,Gag,B,44,1
AB873361,24522911,Gag,B,47,1
AB873362,24522911,Gag,B,50,1
AB873363,24522911,Gag,B,41,1
AB873364,24522911,Gag,B,38,1
AB873365,24522911,Gag,B,19,0
AB873366,24522911,Gag,B,22,1
AB873367,24522911,Gag,B,32,1
AB873368,24522911,Gag,B,31,0
AB873369,24522911,Gag,B,33,0
AB873370,24522911,Gag,B,41,1
AB873371,24522911,Gag,B,42,1
AB873372,24522911,Gag,B,30,0
AB873373,24522911,Gag,B,39,0
AB873374,24522911,Gag,B,29,1
AB873375,24522911,Gag,B,30,1
AB873376,24522911,Gag,B,28,1
AB873377,24522911,Gag,B,30,0
AB873379,24522911,Gag,B,44,0
AB873380,24522911,Gag,01B,46,0
AB873381,24522911,Gag,B,22,0
AB873382,24522911,Gag,B,42,0
AB873383,24522911,Gag,B,35,1
AB873384,24522911,Gag,B,34,0
AB873385,24522911,Gag,B,27,2
AB873386,24522911,Gag,B,43,0
AB873387,24522911,Gag,B,30,1
AB873388,24522911,Gag,B,33,1
AB873389,24522911,Gag,B,48,1
AB873391,24522911,Gag,B,41,0
AB873392,24522911,Gag,B,33,1
AB873393,24522911,Gag,B,38,0
AB873394,24522911,Gag,B,34,0
AB873395,24522911,Gag,B,37,1
AB873396,24522911,Gag,B,39,1
AB873397,24522911,Gag,B,32,0
AB873398,24522911,Gag,B,33,0
AB873399,24522911,Gag,B,45,0
AB873400,24522911,Gag,B,46,0
AB873401,24522911,Gag,B,33,0
AB873402,24522911,Gag,B,31,1
AB873403,24522911,Gag,B,39,1
AB873404,24522911,Gag,B,37,1
AB873405,24522911,Gag,B,34,0
AB873406,24522911,Gag,B,31,1
AB873407,24522911,Gag,B,43,0
AB873408,24522911,Gag,B,37,0
AB873409,24522911,Gag,B,33,0
AB873410,24522911,Gag,B,46,0
AB873411,24522911,Gag,B,37,0
AB873412,24522911,Gag,B,34,0
AB873413,24522911,Gag,B,46,0
AB873414,24522911,Gag,B,38,2
AB873415,24522911,Gag,B,22,1
AB873416,24522911,Gag,B,50,0
AB873417,24522911,Gag,B,39,1
AB873418,24522911,Gag,BF1,42,1
AB873419,24522911,Gag,B,32,2
AB873420,24522911,Gag,B,35,1
AB873421,24522911,Gag,B,32,1
AB873422,24522911,Gag,B,30,2
AB873423,24522911,Gag,B,36,0
AB873424,24522911,Gag,B,39,0
AB873425,24522911,Gag,B,36,1
AB873426,24522911,Gag,B,36,1
AB873427,24522911,Gag,B,47,0
AB873428,24522911,Gag,B,45,1
AB873429,24522911,Gag,B,47,1
AB873430,24522911,Gag,B,30,0
AB873431,24522911,Gag,B,36,0
AB873432,24522911,Gag,B,39,1
AB873433,24522911,Gag,B,47,0
AB873434,24522911,Gag,B,33,2
AB873435,24522911,Gag,B,28,0
AB873436,24522911,Gag,B,33,0
AB873437,24522911,Gag,B,31,0
AB873438,24522911,Gag,B,30,0
AB873439,24522911,Gag,B,36,1
AB873440,24522911,Gag,B,30,1
AB873441,24522911,Gag,B,50,1
AB873442,24522911,Gag,B,43,0
AB873443,24522911,Gag,B,31,0
AB873444,24522911,Gag,B,30,0
AB873445,24522911,Gag,B,42,1
AB873446,24522911,Gag,B,37,1
AB873447,24522911,Gag,B,41,2
AB873448,24522911,Gag,B,31,0
AB873449,24522911,Gag,B,33,1
AB873450,24522911,Gag,BF1,41,1
AB873451,24522911,Gag,B,44,1
AB873452,24522911,Gag,B,34,0
AB873453,24522911,Gag,B,38,1
AB873454,24522911,Gag,B,44,1
AB873455,24522911,Gag,B,31,0
AB873456,24522911,Gag,B,34,0
AB873457,24522911,Gag,B,46,0
AB873458,24522911,Gag,B,37,1
AB873459,24522911,Gag,B,28,0
AB873460,24522911,Gag,B,35,1
AB873461,24522911,Gag,B,33,0
AB873462,24522911,Gag,B,32,0
AB873463,24522911,Gag,B,42,2
AB873464,24522911,Gag,B,39,0
AB873465,24522911,Gag,B,50,2
AB873466,24522911,Gag,B,24,0
AB873467,24522911,Gag,B,26,1
AB873468,24522911,Gag,B,38,0
AB873469,24522911,Gag,B,32,1
AB873470,24522911,Gag,B,30,0
AB873471,24522911,Gag,B,39,1
AB873472,24522911,Gag,B,50,2
AB873473,24522911,Gag,B,46,1
AB873474,24522911,Gag,B,25,0
AB873475,24522911,Gag,B,41,0
AB873476,24522911,Gag,B,40,1
AB873477,24522911,Gag,B,41,0
AB873478,24522911,Gag,B,43,1
AB873479,24522911,Gag,B,46,2
AB873480,24522911,Gag,B,46,0
AB873481,24522911,Gag,B,42,1
AB873482,24522911,Gag,B,38,0
AB873483,24522911,Gag,B,30,0
AB873484,24522911,Gag,B,41,0
AB873485,24522911,Gag,B,37,0
AB873486,24522911,Gag,B,39,0
AB873487,24522911,Gag,B,31,1
AB873488,24522911,Gag,B,37,2
AB873489,24522911,Gag,B,47,0
AB873490,24522911,Gag,B,40,0
AB873491,24522911,Gag,B,37,0
AB873492,24522911,Gag,B,44,0
AB873493,24522911,Gag,B,39,0
AB873494,24522911,Gag,B,32,0
AB873495,24522911,Gag,B,32,0
AB873496,24522911,Gag,B,34,1
AB873497,24522911,Gag,B,45,2
AB873498,24522911,Gag,B,37,1
AB873499,24522911,Gag,B,37,1
AB873500,24522911,Gag,B,47,1
AB873501,24522911,Gag,B,31,0
AB873502,24522911,Gag,B,39,0
AB873503,24522911,Gag,B,43,1
AB873504,24522911,Gag,B,36,0
AB873505,24522911,Gag,B,36,0
AB873506,24522911,Gag,B,40,1
AB873507,24522911,Gag,B,47,0
AB873508,24522911,Gag,B,22,0
AB873509,24522911,Gag,B,44,0
AB873510,24522911,Gag,B,38,1
AB873511,24522911,Gag,B,45,1
AB873512,24522911,Gag,B,49,0
AB873513,24522911,Gag,B,46,0
AB873514,24522911,Gag,B,43,0
AB873515,24522911,Gag,B,51,1
AB873516,24522911,Gag,B,42,1
AB873517,24522911,Gag,B,39,1
AB873518,24522911,Gag,B,36,0
AB873519,24522911,Gag,B,35,0
AB873520,24522911,Gag,B,24,0
AB873521,24522911,Gag,B,39,0
AB873522,24522911,Gag,B,28,0
AB873523,24522911,Gag,B,49,1
AB873524,24522911,Gag,B,40,0
AB873525,24522911,Gag,B,37,0
AB873526,24522911,Gag,B,35,0
AB873527,24522911,Gag,B,38,0
AB873528,24522911,Gag,B,34,0
AB873529,24522911,Gag,B,37,0
AB873530,24522911,Gag,B,38,1
AB873531,24522911,Gag,B,41,2
AB873532,24522911,Gag,B,47,2
AB873533,24522911,Gag,B,31,1
AB873534,24522911,Gag,B,42,0
AB873535,24522911,Gag,B,40,1
AB873536,24522911,Gag,B,44,2
AB873539,24522911,Gag,B,27,0
AB873540,24522911,Gag,B,35,1
AB873541,24522911,Gag,B,43,0
AB873543,24522911,Gag,B,45,0
AB873544,24522911,Gag,B,40,0
AB873545,24522911,Gag,B,23,0
AB873546,24522911,Gag,B,38,0
AB873547,24522911,Gag,B,40,0
AB873548,24522911,Gag,B,36,0
AB873549,24522911,Gag,B,33,1
AB873550,24522911,Gag,B,41,0
AB873551,24522911,Gag,B,33,1
AB873552,24522911,Gag,B,37,0
AB873553,24522911,Gag,B,40,1
AB873554,24522911,Gag,B,41,0
AB873555,24522911,Gag,B,27,1
AB873556,24522911,Gag,B,36,1
AB873557,24522911,Gag,B,35,1
AB873558,24522911,Gag,B,36,0
AB873559,24522911,Gag,B,33,0
AB873560,24522911,Gag,B,39,0
AB873561,24522911,Gag,B,47,1
AB873562,24522911,Gag,01B,41,1
AB873563,24522911,Gag,B,45,0
AB873564,24522911,Gag,B,32,0
AB873565,24522911,Gag,B,39,0
AB873566,24522911,Gag,B,57,1
AB873567,24522911,Gag,B,35,1
AB873568,24522911,Gag,B,36,1
AB873569,24522911,Gag,B,30,1
AB873570,24522911,Gag,B,38,1
AB873571,24522911,Gag,B,44,1
AB873572,24522911,Gag,B,41,1
AB873574,24522911,Gag,B,41,0
AB873575,24522911,Gag,B,36,0
AB873576,24522911,Gag,B,32,0
AB873577,24522911,Gag,B,43,0
AB873578,24522911,Gag,B,47,0
AB873579,24522911,Gag,B,45,1
AB873580,24522911,Gag,B,36,1
AB873581,24522911,Gag,B,32,0
AB873582,24522911,Gag,B,32,2
AB873583,24522911,Gag,B,32,0
AB873584,24522911,Gag,B,35,0
AB873585,24522911,Gag,B,35,0
AB873586,24522911,Gag,B,39,0
AB873587,24522911,Gag,B,30,1
AB873588,24522911,Gag,B,43,0
AB873589,24522911,Gag,B,27,0
AB873590,24522911,Gag,B,35,0
AB873591,24522911,Gag,B,40,1
AB873592,24522911,Gag,B,31,1
AB873593,24522911,Gag,B,32,2
AB873594,24522911,Gag,B,34,0
AB873595,24522911,Gag,B,42,1
AB873596,24522911,Gag,B,36,2
AB873597,24522911,Gag,B,30,0
AB873598,24522911,Gag,B,34,0
AB873599,24522911,Gag,B,45,1
AB873600,24522911,Gag,B,37,1
AB873601,24522911,Gag,B,39,0
AF005494,9621027,Gag,F1,71,1
AF005495,9621027,Gag,BF1,25,0
AF005496,9621027,Gag,H,72,0
AF067154,9847317,Gag,C,84,0
AF067155,9847317,Gag,C,74,0
AF067156,9847317,Gag,A1C,83,0
AF067157,9847317,Gag,C,87,1
AF067158,9847317,Gag,C,73,0
AF067159,9847317,Gag,C,84,0
AF110960,10196340,Gag,C,88,1
AF110962,10196340,Gag,C,73,0
AF110974,10196340,Gag,C,77,0
AF110976,10196340,Gag,C,77,0
AF110979,10196340,Gag,C,80,0
AF332867,11752707,Gag,BF,72,1
AF408626,11752707,Gag,BF,57,0
AF408627,11752707,Gag,BF,86,1
AF408628,11752707,Gag,BF,68,2
AF408629,11752707,Gag,12_BF,66,1
AF408630,11752707,Gag,12_BF,65,1
AF408631,11752707,Gag,BF,63,1
AF408632,11752707,Gag,BF,63,1
AF443074,11991972,Gag,C,80,0
AF443075,11991972,Gag,C,84,0
AF443076,11991972,Gag,C,96,1
AF443077,11991972,Gag,C,86,1
AF443078,11991972,Gag,C,78,0
AF443079,11991972,Gag,C,82,0
AF443080,11991972,Gag,C,83,0
AF443081,11991972,Gag,C,78,0
AF443082,11991972,Gag,C,78,0
AF443083,11991972,Gag,C,90,0
AF443084,11991972,Gag,C,80,0
AF443085,11991972,Gag,C,82,0
AF443086,11991972,Gag,C,81,1
AF443087,11991972,Gag,C,80,0
AF443088,11991972,Gag,C,83,0
AF443089,11991972,Gag,C,82,0
AF443090,11991972,Gag,C,85,0
AF443091,11991972,Gag,C,92,0
AF443092,11991972,Gag,C,85,0
AF443093,11991972,Gag,C,86,0
AF443094,11991972,Gag,C,82,0
AF443095,11991972,Gag,C,78,0
AF443096,11991972,Gag,C,83,0
AF443097,11991972,Gag,C,83,1
AF443098,11991972,Gag,C,74,1
AF443100,11991972,Gag,C,78,0
AF443101,11991972,Gag,C,76,0
AF443102,11991972,Gag,C,87,0
AF443103,11991972,Gag,C,79,0
AF443104,11991972,Gag,C,78,0
AF443105,11991972,Gag,C,82,2
AF443107,11991972,Gag,C,87,0
AF443108,11991972,Gag,C,86,2
AF443109,11991972,Gag,C,83,0
AF443110,11991972,Gag,C,77,0
AF443111,11991972,Gag,C,74,1
AF443112,11991972,Gag,C,76,0
AF443113,11991972,Gag,C,85,1
AF443114,11991972,Gag,C,89,0
AF443115,11991972,Gag,C,85,0
AF533118,16379612,Gag,C,84,0
AF533119,16379612,Gag,C,85,0
AF533120,16379612,Gag,C,78,0
AF533121,16379612,Gag,C,79,0
AF533122,16379612,Gag,C,79,0
AF533123,16379612,Gag,C,80,0
AF533124,16379612,Gag,C,80,0
AF533125,16379612,Gag,C,82,0
AF533126,16379612,Gag,C,78,1
AF533127,16379612,Gag,C,84,1
AF533128,16379612,Gag,C,79,1
AF533129,16379612,Gag,C,76,0
AF533130,16379612,Gag,C,82,0
AF533131,16379612,Gag,C,74,0
AF533132,16379612,Gag,C,82,0
AF533133,16379612,Gag,C,82,1
AF533134,16379612,Gag,C,82,1
AF533135,16379612,Gag,C,81,0
AF533136,16379612,Gag,C,85,1
AF533137,16379612,Gag,C,85,1
AF533138,16379612,Gag,C,85,1
AF533139,16379612,Gag,C,90,1
AF533140,16379612,Gag,C,83,1
AF533141,16379612,Gag,C,80,1
AJ249235,10659053,Gag,K,80,0
AJ249236,10659053,Gag,F2,84,1
AJ249237,10659053,Gag,F2,80,1
AJ249238,10659053,Gag,F1,69,1
AJ249239,10659053,Gag,K,68,0
AJ866553,16060839,Gag,09_cpx,88,0
AJ866554,16060839,Gag,0209,80,1
AJ866555,16060839,Gag,0209,81,0
AJ866556,16060839,Gag,0209,79,0
AJ866557,16060839,Gag,02GK,73,0
AJ866558,16060839,Gag,0209,75,0
AY173951,12487805,Gag,B,18,0
AY173952,12487805,Gag,B,15,0
AY173954,12487805,Gag,B,26,0
AY173955,12487805,Gag,B,40,0
AY173957,12487805,Gag,F1,69,1
AY322184,15272396,Gag,A1,76,0
AY322187,15272396,Gag,CD,56,0
AY322189,15272396,Gag,D,56,0
AY322190,15272396,Gag,A1,78,1
AY322191,15272396,Gag,AC,91,0
AY331282,16103205,Gag,B,18,0
AY331284,16103205,Gag,B,24,1
AY331285,16103205,Gag,B,25,1
AY331287,16103205,Gag,B,40,0
AY331289,16103205,Gag,B,28,0
AY331292,16103205,Gag,B,26,0
AY331296,16103205,Gag,B,28,0
AY463217,16701907,Gag,C,81,2
AY463218,16701907,Gag,C,79,0
AY463219,16701907,Gag,C,78,2
AY463221,16701907,Gag,C,77,1
AY463222,16701907,Gag,C,87,0
AY463223,16701907,Gag,C,82,0
AY463225,16701907,Gag,C,84,2
AY463227,16701907,Gag,C,85,0
AY463228,16701907,Gag,C,71,0
AY463229,16701907,Gag,C,79,1
AY463230,16701907,Gag,C,68,0
AY463231,16701907,Gag,C,71,0
AY463232,16701907,Gag,C,74,0
AY463233,16701907,Gag,C,79,0
AY484419,15585103,Gag,C,80,0
AY484420,15585103,Gag,C,74,0
AY484421,15585103,Gag,C,80,0
AY484422,15585103,Gag,C,83,0
AY484423,15585103,Gag,C,75,0
AY484424,15585103,Gag,C,89,0
AY585264,16701907,Gag,C,80,1
AY585266,16701907,Gag,C,82,0
AY585267,16701907,Gag,C,83,0
AY703909,16701907,Gag,C,83,0
AY703910,16701907,Gag,C,79,0
AY772690,16701907,Gag,C,76,0
AY772693,16701907,Gag,C,72,0
AY772696,16701907,Gag,C,79,0
AY772698,16701907,Gag,C,77,0
AY772700,16701907,Gag,C,78,0
AY786790,16272358,Gag,B,33,0
AY786800,16272358,Gag,B,34,0
AY786830,16272358,Gag,B,20,0
AY786840,16272358,Gag,B,24,0
AY786871,16272358,Gag,B,33,0
AY786880,16272358,Gag,B,31,0
AY786911,16272358,Gag,B,27,1
AY786920,16272358,Gag,B,25,0
AY786952,16272358,Gag,B,24,0
AY786962,16272358,Gag,B,29,0
AY838569,15592417,Gag,C,79,1
AY838570,15592417,Gag,C,75,0
AY838571,15592417,Gag,C,74,0
AY838572,15592417,Gag,C,80,1
AY838573,15592417,Gag,C,82,0
AY838574,15592417,Gag,C,85,0
AY838575,15592417,Gag,C,82,0
AY838576,15592417,Gag,C,81,1
AY838577,15592417,Gag,C,80,1
AY838578,15592417,Gag,C,80,0
AY838579,15592417,Gag,C,78,0
AY838580,15592417,Gag,C,75,1
AY838581,15592417,Gag,C,79,1
AY838582,15592417,Gag,C,76,1
AY838583,15592417,Gag,C,79,0
AY838584,15592417,Gag,C,89,0
AY838585,15592417,Gag,C,81,0
AY838586,15592417,Gag,C,77,0
AY838587,15592417,Gag,C,75,0
AY838589,15592417,Gag,C,81,0
AY838590,15592417,Gag,C,84,0
AY838592,15592417,Gag,C,75,0
AY838593,15592417,Gag,C,80,1
AY838594,15592417,Gag,C,82,0
AY838595,15592417,Gag,C,84,1
AY838596,15592417,Gag,C,80,1
AY838597,15592417,Gag,C,84,0
AY838598,15592417,Gag,C,83,0
AY838599,15592417,Gag,C,80,0
AY838600,15592417,Gag,C,86,0
AY838601,15592417,Gag,C,86,0
AY838602,15592417,Gag,C,82,0
AY838603,15592417,Gag,C,67,0
AY838604,15592417,Gag,C,75,1
AY838605,15592417,Gag,C,80,1
AY838606,15592417,Gag,C,84,0
AY838607,15592417,Gag,C,83,1
AY838608,15592417,Gag,C,79,0
AY838609,15592417,Gag,C,74,1
AY838610,15592417,Gag,C,69,1
AY838611,15592417,Gag,C,80,0
AY838612,15592417,Gag,C,73,0
AY838613,15592417,Gag,A2C,73,0
AY838614,15592417,Gag,C,78,0
AY838615,15592417,Gag,C,81,1
AY838616,15592417,Gag,C,73,0
AY838617,15592417,Gag,C,77,0
AY838618,15592417,Gag,C,88,0
AY838619,15592417,Gag,C,82,0
AY838620,15592417,Gag,C,73,0
AY838621,15592417,Gag,C,78,1
AY838622,15592417,Gag,C,90,1
AY838623,15592417,Gag,C,76,0
AY838624,15592417,Gag,C,80,1
AY838625,15592417,Gag,C,83,0
AY838626,15592417,Gag,C,88,0
AY838627,15592417,Gag,C,79,1
AY838628,15592417,Gag,C,85,0
AY838629,15592417,Gag,C,80,0
AY838630,15592417,Gag,C,76,0
AY838631,15592417,Gag,C,78,1
AY838632,15592417,Gag,C,78,1
AY838633,15592417,Gag,C,77,1
AY838635,15592417,Gag,C,75,1
AY838636,15592417,Gag,C,85,1
AY838637,15592417,Gag,C,81,0
AY838638,15592417,Gag,C,84,1
AY857016,15592417,Gag,BC,82,0
AY857022,15592417,Gag,B,23,1
AY857144,15592417,Gag,B,26,0
AY857165,15592417,Gag,B,27,0
AY878055,16701907,Gag,C,78,0
AY878058,16701907,Gag,C,82,0
AY878060,16701907,Gag,C,80,0
AY878064,16701907,Gag,C,81,2
